#ZVView-data-copy:   9-Jul-2018 18:24:53
#=======================================
#
#name:   ENDF/B-VIII.0: HE-3(D,P`)HE-4-L0
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  309
#data...
#            X            Y
#          MeV        barns
        0.0008            0
        0.0009   2.7947e-37
         0.001   3.0681e-35
         0.002   3.0401e-24
         0.003   2.0517e-19
         0.004   1.4837e-16
         0.005    1.292e-14
         0.006   3.4345e-13
         0.007    4.344e-12
         0.008   3.3294e-11
    0.00848528  7.81549e-11
    0.00861113  9.63374e-11
    0.00865881  1.04154e-10
    0.00871915  1.14854e-10
    0.00876997  1.24616e-10
    0.00882692  1.36426e-10
    0.00888604  1.49729e-10
    0.00892657  1.59506e-10
    0.00897546  1.72048e-10
    0.00902968  1.86983e-10
    0.00908747  2.04158e-10
    0.00914198   2.2163e-10
    0.00919338  2.39308e-10
    0.00924183  2.57106e-10
    0.00928748  2.74941e-10
    0.00935137   3.0174e-10
    0.00940912  3.27929e-10
    0.00946242  3.53868e-10
      0.009528   3.8827e-10
    0.00958576  4.20985e-10
    0.00963659  4.51768e-10
     0.0097009  4.93562e-10
    0.00975506  5.31371e-10
    0.00981572  5.76745e-10
    0.00988114  6.29477e-10
    0.00994039  6.80864e-10
          0.01   7.3626e-10
     0.0100597  7.95756e-10
     0.0101161    8.557e-10
     0.0101942  9.45361e-10
     0.0102664    1.0355e-9
     0.0103316   1.12341e-9
     0.0103919   1.21033e-9
      0.010466   1.32539e-9
     0.0105313   1.43459e-9
      0.010614   1.58422e-9
     0.0106838   1.72083e-9
      0.010762   1.88623e-9
     0.0108432   2.07268e-9
     0.0108989   2.20978e-9
     0.0109662   2.38576e-9
       0.01103   2.56374e-9
     0.0111165   2.82407e-9
     0.0111948   3.07923e-9
     0.0112672   3.33262e-9
     0.0113535    3.6586e-9
     0.0114323   3.98053e-9
     0.0115018   4.28427e-9
     0.0115916    4.7066e-9
     0.0116419   4.95871e-9
     0.0117304   5.43123e-9
     0.0118224   5.96339e-9
     0.0118855   6.35438e-9
     0.0119617   6.85589e-9
     0.0120602    7.5548e-9
     0.0121435   8.19419e-9
     0.0122205   8.82601e-9
     0.0123154   9.66186e-9
     0.0123989   1.04546e-8
     0.0125048   1.15401e-8
     0.0125942   1.25304e-8
     0.0126944   1.37284e-8
     0.0127987   1.50777e-8
     0.0128702   1.60691e-8
     0.0129566   1.73408e-8
     0.0130604   1.89827e-8
     0.0131707   2.08748e-8
     0.0132716   2.27454e-8
     0.0133605   2.45121e-8
     0.0134756   2.69711e-8
       0.01354   2.84402e-8
     0.0136536   3.11959e-8
