#LIBRARY    ENDF/B-VIII.0
#REACTION   H-3(D,N`)HE-4-L0,SIG
#NUCLEUS    H-3
#MF         3
#MT         50
#EN-MIN     100
#EN-MAX     3e+07
#E,eV        Sig,b        Interpolation
 100         0            Lin-Lin
 100         0            Lin-Lin
 200         7.4327E-39   Lin-Lin
 300         4.0555E-31   Lin-Lin
 400         1.5862E-26   Lin-Lin
 500         2.1029E-23   Lin-Lin
 600         4.1704E-21   Lin-Lin
 700         2.5141E-19   Lin-Lin
 800         6.7828E-18   Lin-Lin
 900         1.0321E-16   Lin-Lin
 1000        1.0268E-15   Lin-Lin
 1414.21     8.54012E-13  Lin-Lin
 1681.79     1.59618E-11  Lin-Lin
 1834.01     6.25711E-11  Lin-Lin
 1874.17     8.7191E-11   Lin-Lin
 1889.45     9.86464E-11  Lin-Lin
 1899.34     1.0676E-10   Lin-Lin
 1908.46     1.14768E-10  Lin-Lin
 1919.67     1.25349E-10  Lin-Lin
 1929.53     1.35375E-10  Lin-Lin
 1938.2      1.44778E-10  Lin-Lin
 1949.39     1.57772E-10  Lin-Lin
 1961.13     1.72535E-10  Lin-Lin
 1970.78     1.85571E-10  Lin-Lin
 1981.17     2.00591E-10  Lin-Lin
 1993.7      2.20165E-10  Lin-Lin
 2006.35     2.41634E-10  Lin-Lin
 2019        2.64987E-10  Lin-Lin
 2031.53     2.90092E-10  Lin-Lin
 2043.94     3.17033E-10  Lin-Lin
 2056.23     3.45898E-10  Lin-Lin
 2068.4      3.76775E-10  Lin-Lin
 2080.46     4.09753E-10  Lin-Lin
 2092.39     4.4492E-10   Lin-Lin
 2104.2      4.82366E-10  Lin-Lin
 2115.9      5.2218E-10   Lin-Lin
 2127.47     5.6445E-10   Lin-Lin
 2138.92     6.09266E-10  Lin-Lin
 2150.26     6.56714E-10  Lin-Lin
 2161.48     7.06882E-10  Lin-Lin
 2172.58     7.59856E-10  Lin-Lin
 2183.56     8.15721E-10  Lin-Lin
 2194.43     8.74559E-10  Lin-Lin
 2205.17     9.36452E-10  Lin-Lin
 2215.81     1.00148E-09  Lin-Lin
 2231.56     1.10521E-09  Lin-Lin
 2247        1.21613E-09  Lin-Lin
 2262.24     1.33508E-09  Lin-Lin
 2277.17     1.46164E-09  Lin-Lin
 2291.9      1.5967E-09   Lin-Lin
 2306.33     1.73975E-09  Lin-Lin
 2320.55     1.8917E-09   Lin-Lin
 2334.48     2.05192E-09  Lin-Lin
 2348.21     2.22139E-09  Lin-Lin
 2361.66     2.39934E-09  Lin-Lin
 2374.91     2.58681E-09  Lin-Lin
 2387.88     2.7829E-09   Lin-Lin
 2400.65     2.98869E-09  Lin-Lin
 2417.43     3.27943E-09  Lin-Lin
 2433.8      3.58685E-09  Lin-Lin
 2449.76     3.9109E-09   Lin-Lin
 2465.32     4.25149E-09  Lin-Lin
 2480.49     4.60845E-09  Lin-Lin
 2495.27     4.98154E-09  Lin-Lin
 2509.68     5.37049E-09  Lin-Lin
 2523.71     5.77493E-09  Lin-Lin
 2537.38     6.19447E-09  Lin-Lin
 2550.7      6.62866E-09  Lin-Lin
 2570.07     7.30812E-09  Lin-Lin
 2588.57     8.01387E-09  Lin-Lin
 2606.44     8.75134E-09  Lin-Lin
 2623.5      9.51055E-09  Lin-Lin
 2639.95     1.02972E-08  Lin-Lin
 2655.66     1.11006E-08  Lin-Lin
 2670.8      1.19269E-08  Lin-Lin
 2690.27     1.30686E-08  Lin-Lin
 2708.65     1.42335E-08  Lin-Lin
 2726        1.54153E-08  Lin-Lin
 2742.37     1.6608E-08   Lin-Lin
 2757.8      1.7806E-08   Lin-Lin
 2779.42     1.96108E-08  Lin-Lin
 2798.97     2.13795E-08  Lin-Lin
 2817.03     2.31356E-08  Lin-Lin
 2838.58     2.53946E-08  Lin-Lin
 2858.27     2.76252E-08  Lin-Lin
 2875.62     2.97294E-08  Lin-Lin
 2898.03     3.26549E-08  Lin-Lin
 2910.58     3.4401E-08   Lin-Lin
 2932.68     3.76732E-08  Lin-Lin
 2955.65     4.1358E-08   Lin-Lin
 2971.41     4.4065E-08   Lin-Lin
 2990.44     4.75367E-08  Lin-Lin
 3013.52     5.20681E-08  Lin-Lin
 3033.48     5.62894E-08  Lin-Lin
 3053.15     6.07381E-08  Lin-Lin
 3072.44     6.53925E-08  Lin-Lin
 3091.45     7.02785E-08  Lin-Lin
 3116.44     7.71833E-08  Lin-Lin
 3140.85     8.44857E-08  Lin-Lin
 3164.67     9.21844E-08  Lin-Lin
 3187.92     1.00277E-07  Lin-Lin
 3210.61     1.08758E-07  Lin-Lin
 3232.74     1.17623E-07  Lin-Lin
 3254.33     1.26865E-07  Lin-Lin
 3275.37     1.36473E-07  Lin-Lin
 3295.9      1.46439E-07  Lin-Lin
 3315.9      1.56751E-07  Lin-Lin
 3345.02     1.72886E-07  Lin-Lin
 3372.89     1.89639E-07  Lin-Lin
 3399.81     2.07138E-07  Lin-Lin
 3425.55     2.25145E-07  Lin-Lin
 3450.4      2.43796E-07  Lin-Lin
 3474.14     2.62835E-07  Lin-Lin
 3497.04     2.82405E-07  Lin-Lin
 3526.54     3.09433E-07  Lin-Lin
 3554.41     3.36989E-07  Lin-Lin
 3580.75     3.64925E-07  Lin-Lin
 3605.61     3.93101E-07  Lin-Lin
 3629.08     4.21381E-07  Lin-Lin
 3661.98     4.63947E-07  Lin-Lin
 3691.78     5.05621E-07  Lin-Lin
 3719.34     5.4696E-07   Lin-Lin
 3753.32     6.0187E-07   Lin-Lin
 3783.3      6.54165E-07  Lin-Lin
 3809.73     7.03428E-07  Lin-Lin
 3843.24     7.70391E-07  Lin-Lin
 3871.51     8.31033E-07  Lin-Lin
 3903.24     9.03878E-07  Lin-Lin
 3937.53     9.88613E-07  Lin-Lin
 3968.64     1.07125E-06  Lin-Lin
