# p +  16O : Production of  16F  - Total
# Q-value    =-1.61997E+01 mass=  16.011465
# E-threshold= 1.72199E+01
# # energies =    45
#     E          xs
 1.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00
 1.10000E+01 0.00000E+00
 1.20000E+01 0.00000E+00
 1.30000E+01 0.00000E+00
 1.40000E+01 0.00000E+00
 1.50000E+01 0.00000E+00
 1.60000E+01 0.00000E+00
 1.70000E+01 0.00000E+00
 1.80000E+01 3.93215E+00
 1.90000E+01 8.65686E+00
 2.00000E+01 8.25672E+00
 2.20000E+01 6.02387E+00
 2.40000E+01 8.36119E+00
 2.60000E+01 7.99032E+00
 2.80000E+01 6.83240E+00
 3.00000E+01 5.87880E+00
 3.50000E+01 4.02084E+00
 4.00000E+01 2.81402E+00
 4.50000E+01 2.35715E+00
 5.00000E+01 1.96807E+00
 5.50000E+01 1.52153E+00
 6.00000E+01 1.11816E+00
 6.50000E+01 1.05711E+00
 7.00000E+01 1.00160E+00
 7.50000E+01 1.15162E+00
 8.00000E+01 6.61481E-01
 9.00000E+01 5.01096E-01
 1.00000E+02 4.56301E-01
 1.10000E+02 3.33085E-01
 1.20000E+02 2.70570E-01
 1.30000E+02 2.64788E-01
 1.40000E+02 2.00874E-01
 1.50000E+02 1.68266E-01
 1.60000E+02 1.65850E-01
 1.80000E+02 1.10508E-01
 2.00000E+02 8.84589E-02
