# p +  18O : Production of  19F  - Total
# Q-value    = 7.95683E+00 mass=  18.998403
# E-threshold= 0.00000E+00
# # energies =    54
#     E          xs
 1.00000E-03 0.00000E+00
 2.00000E-03 0.00000E+00
 5.00000E-03 0.00000E+00
 1.00000E-02 0.00000E+00
 2.00000E-02 0.00000E+00
 5.00000E-02 1.00000E-20
 1.00000E-01 2.54962E-09
 2.00000E-01 1.90943E-06
 5.00000E-01 3.29519E-04
 1.00000E+00 2.04457E-03
 2.00000E+00 7.69918E-03
 3.00000E+00 1.23623E-02
 4.00000E+00 1.24374E-02
 5.00000E+00 1.14571E-02
 6.00000E+00 1.13275E-02
 7.00000E+00 1.17954E-02
 8.00000E+00 1.16749E-02
 9.00000E+00 1.03046E-02
 1.00000E+01 6.01018E-02
 1.10000E+01 7.52746E-02
 1.20000E+01 9.51673E-02
 1.30000E+01 1.19185E-01
 1.40000E+01 1.54938E-01
 1.50000E+01 1.85701E-01
 1.60000E+01 2.19334E-01
 1.70000E+01 2.53564E-01
 1.80000E+01 2.75181E-01
 1.90000E+01 2.82655E-01
 2.00000E+01 2.78518E-01
 2.20000E+01 2.38732E-01
 2.40000E+01 1.86263E-01
 2.60000E+01 1.43717E-01
 2.80000E+01 1.15306E-01
 3.00000E+01 9.56715E-02
 3.50000E+01 6.74355E-02
 4.00000E+01 5.15891E-02
 4.50000E+01 4.28098E-02
 5.00000E+01 3.65965E-02
 5.50000E+01 3.10975E-02
 6.00000E+01 2.77050E-02
 6.50000E+01 2.47715E-02
 7.00000E+01 2.20657E-02
 7.50000E+01 2.02960E-02
 8.00000E+01 1.83836E-02
 9.00000E+01 1.56995E-02
 1.00000E+02 1.32887E-02
 1.10000E+02 1.14618E-02
 1.20000E+02 1.01134E-02
 1.30000E+02 8.83896E-03
 1.40000E+02 7.76547E-03
 1.50000E+02 6.94504E-03
 1.60000E+02 6.18542E-03
 1.80000E+02 4.92887E-03
 2.00000E+02 4.02855E-03
